Pattern,issue,output
PS_PROBLEM,"Question: """""" Trying to come up with a generic pattern validation directive since none is built in, but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself... any ideas? """"""
Answer:","The sentence """""" but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself """""" uses <pattern>running into an issue of VBG</pattern> to indicate that the user is getting something wrong. The answer is YES."
PS_NEG_ADV_ADJ,"Question: """""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""
Answer: ","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses <pattern>sth is bad practice</pattern> but it is said by some other guys, not represents the user's point, so the answer is NO."
PS_NEG_AUX_VERB,"Question: """""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""
Answer: ","The sentence """"""  Can't we use google Word2Vec file (1.5Go) to do that ? """""" uses <pattern>can't .. VB</pattern> but this is just a rhetorical question instead of describing the problem, so the answer is NO."
PS_NEG_AUX_VERB,"Question: """""" hello, i have a problem with named router-outlet, i need to add dialogs in a named router-outlet, but as i heard from github/angular, i can't use lazy loaded modules with auxiliary routes. Is there a way to do that now? """"""
Answer: ","The sentence """""" i can't use lazy loaded modules with auxiliary routes. """""" uses <pattern>i can't VB</pattern> to indicate that there is something wrong with ""lazy loaded modules"". The answer is YES."
PS_NEG_AUX_VERB,"Question: """""" Hi, I think there might be a problem in MovingWindowDataSetFetcher. It calls MovingWindowMatrix.windows with flattened and addRotate both set to true. However, I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. Am i mistaken? """"""
Answer: ","The sentence """""" I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. """""" uses <pattern>sth can't be VBN</pattern> to indicate that there is something wrong with ""flattened matrix"". The answer is YES."
,"Question: """""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""
Answer: ",No sentences found to indicate the error or undesired behavior. The answer is NO.
PS_PROBLEM,"Question: """""" Hi! I am seeing some issues with DataVec and the stringToTimeTransform behaviour.  For example,  I tried to output the milliseconds timestamps as produced by the transform on the Basic DataVec Example data (I modified the csv to have entries where month is not only January(i.e. 01). """"""
Answer: ","The sentence """""" I am seeing some issues with DataVec and the stringToTimeTransform behaviour. """""" uses <pattern>seeing some issues with sth</pattern> to indicate that there is something wrong with ""DataVec and the stringToTimeTransform"". The answer is YES."
PS_VERB_ERROR,"Question: """""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""
Answer: ","The sentence """"""  does anyone know how to get the mat-error and mat-hit animations? """""" uses <pattern>get the mat-error</pattern> but this pattern is in the ""how-to"" question, it is only the user's expectation instead of describing the problem, so the answer is NO."
,"Question: """""" I assume the docker host has a volume to which I have to write the outcomes of a python script inside a docker container. This host volume has to be mounted on the docker container which runs the python script. But how can I get this path of this mounted host volume and put it as a ENV in the docker container? (so that the python script knows where to write its data to) """"""
Answer: ",No sentences found to indicate the error or undesired behavior. The answer is NO.
PS_NEG_AUX_VERB,"Question: """""" Hi, I just used angular 2 with the cli, it's my first try. But server live-reload doesn't work, I always have to cance the server and run it again. Is this some known problem? I tried it in vscode and webstorm. I googled around but could not finde anything. """"""
Answer: ","The sentence """""" But server live-reload doesn't work """""" uses <pattern>sth doesn't work</pattern> to indicate that there is something wrong with ""server live-reload"". The answer is YES."
PS_PROBLEM,"Question: """""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""
Answer: ","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES."
PS_PROBLEM,"Question: """""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""
Answer: ","The sentence """""" Question about Observables: """""" uses <pattern>question about sth</pattern> but after the semi-colon, it is only an example to describe the user's expectation instead of describing the problem, so the answer is NO."
PS_VERB_NO,"Question: """""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""
Answer: ","The sentence """""" tried using this tool [link], but it reports no circular dependencies """""" uses <pattern>reports no JJ NNS</pattern> to indicate that there is something wrong with ""this tool"". The answer is YES."
