,issue,output
ETD_BE_POSSIBLE_TO,""""""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """"""","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to indicate that the user expects to ""simulate/inject various network issues in nodejs"". The answer is YES."
ETD_REQUIRES,""""""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup. I've created the form & d popup is working OK, but when i add the table,  everything goes blank,  will appreciate if anyone can help out """"""","The sentence """""" i need help  I'm working a project that requires having a form & a table to display d data filled in the form in a modal popup """""" uses <pattern>that requires VBG</pattern> to indicate that the user expects the project to have ""a form & a table to display d data filled in the form in a modal popup"". The answer is YES."
ETD_LOOKING_TO,""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""","The sentence """""" If I'm looking to test a component that gets a service injected via the constructor """""" uses <pattern>looking to VB</pattern> to indicate that the user expects to ""test a component"". The answer is YES."
ETD_FOR_EXAMPLE,""""""" guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a components needs result from resolverA; resolverA builds a query depending on a result from resolverB. """"""","The sentence """""" e.g. a components needs result from resolverA; """""" uses an example start with <pattern>e.g. a NNS VBZ</pattern> to indicate that the user expects the result from ""resolverA"". The answer is YES."
ETD_NORMALLY,""""""" Hey - anyone got a minute to help my with my naming convention? My object/interface names kinda suck. Interface: [<-CODE->] Concrete implementation: [<-CODE->] Not only do my names for these things suck - they are also confusing (even to me!) Ideally, my interface would be called Fooable but I can't get the right word """"""","The sentence """""" Ideally, my interface would be called Fooable but I can't get the right word """""" uses <pattern>Ideally sth would be</pattern> to indicate that the user expects the interface to ""be called Fooable"". The answer is YES."
ETD_INSTEAD_OF_EXP_BEHAVIOR,""""""" I am moving from Java and .Net on the backend too looking at Node with an Angular 2 front end. Since I am planning on using the Angular CLI, Webpack package. Has anyone integrated this template with the server side, connect to a database and provide a descent example? instead of having the ngFor on its own element, have you placed it as a attribute on the other elements? So it is not in the resulting DOM structure which interferes with the CSS """"""","The sentence """""" instead of having the ngFor on its own element """""" uses <pattern>instead of VBG</pattern> to indicate that the user's expectation is NOT ""having the ngFor on its own element."" The answer is YES."
ETD_WORKING_ON,""""""" Hi Team, GM. I am working on binding dynamic objects/property values to html. [code] I am having issue with above defined syntax. Can you please help me how to update dynamic values in the Object. Thanks in advance. """"""","The sentence """""" I am working on binding dynamic objects/property values to html """""" uses <pattern>working on VBG</pattern> indicate that the user expects ""binding dynamic objects/property values to html"". The answer is YES."
ETD_IMPLEMENT,""""""" I have build large SPAs with Angular, but now want to add some angular ""widgets"" to a regular website (think quote of the day/flight status etc). If I use the normal webpack route, I'm going to end up with a large bundle which duplicates all the angular resources for each simple little widget. Is there an established pattern for using Angular in this way? """"""","The sentence """""" I have build large SPAs with Angular """""" uses <pattern>build sth. with</pattern> to indicate that the user expects to ""build large SPAs with Angular"". The answer is YES."
ETD_MUST,""""""" Hi all, I am looking for a schedular similar to fullCalendar for angular but a pure free & opensource (must include timeline view , month, year & day view), any recommendations on it would really be of a greater help.... """"""","The sentence """""" must include timeline view, month, year & day view """""" uses <pattern>must VB</pattern> to indicate that the user expects the calendar to include ""timeline view, month, year & day view"". The answer is YES."
ETD_GOING_TO,""""""" I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2. however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined """"""","The sentence """"""  I am going to create chatbot using websockets in Angular2. """""" uses <pattern>going to VB</pattern> to indicate that the user expects to ""create chatbot using websockets in Angular2"". The answer is YES."
ETD_IN_ORDER_FOR,""""""" I have a service that fetches data form an API. This data is language dependant, and the base URL changes according to the language. How can I make the app work dependant on the language switch? I've implemented a component to switch languages and the main component is aware of these changes. But how do I store the active language value (and where) in order for the service to always fetch it? """"""","The sentence """"""  But how do I store the active language value (and where) in order for the service to always fetch it? """""" uses <pattern>in order for sth to VB</pattern> to indicate that the user expects ""the service to always fetch it"". The answer is YES."
ETD_HOPE,""""""" Hi, Is it possible to make a directive required in a component? We have various common components that all need to make use of a directive.   I want to make sure the developer is alerted if the directive is not applied during coding.  I was hoping to use something like an interface, but donat know if it is possible. Any ideas anyone?? Thanks. """"""","The sentence """""" I was hoping to use something like an interface """""" uses <pattern>hoping to VB</pattern> to indicate that the user expects to ""use something like an interface"". The answer is YES."
ETD_MEAN,""""""" Hey, is there native compiler for typescript? I see that on github compiler is written in typescript, and it takes a lot of time to distribute (and I guess native one would be faster?). By native I mean something written in c++ or c# compiled to dll or exe. """"""","The sentence """""" By native I mean something written in c++ or c# compiled to dll or exe """""" uses <pattern>I mean something</pattern> to indicate that the user expects ""something written in c++ or c#"". The answer is YES."
ETD_THINK_ABOUT,""""""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception: ""Error:java: java.lang.ExceptionInInitializerError"" No worries, thanks. Here's my gist: [<-LINK->] """"""","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>thinking of VBG</pattern> to indicate that the user expects to ""build with Maven with java SDK 8"". The answer is YES."
ETD_PLAN,""""""" Hi to all.  I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend.  I was looking into UI frameworks for Angular 2 and found:  I would like to ask if any have experience with it and how it goes, or perhaps if you have a better recommendation it will be appreciated. thanks in advance """"""","The sentence """""" I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend. """""" uses <pattern>planning to VB</pattern> to indicate that the user expects to ""develop a UI frontend for a Rest Backend"". The answer is YES."
ETD_WANT_TO,""""""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """"""","The sentence """""" does angular2 always want to load references from the root of the app or am i configuring something wrong? """""" uses <pattern>want to VB</pattern> but this pattern is in the interrogative sentence which means that ""load references"" is not the user's expectation, so the answer is NO."
,""""""" Hi, when i am running the script i found the following output:18:18:37.986 [main] INFO o.d.o.l.ScoreIterationListener - Score at iteration 10 is 0.7203129577636719. What is the ""score"" mean? Does it refer to gradient value? """"""",No sentences found to indicate the user's expectation.
