Pattern,issue,output,2_examples,4_examples,6_examples,8_examples,10_examples
PS_ONLY,""""""" Does anyone know of a way to determine if a type could also refer to a value?  That is, if the type is of a Class, then do one conditional type branch, and if it is only an Interface or primitive then it will use the other branch. """"""","The sentence """""" and if it is only an Interface or primitive then it will use the other branch """""" uses <pattern>if it is only</pattern> to describe one condition of the example instead of describing the problem, so the answer is NO.",1,0,0,0,1
PS_PROBLEM,""""""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""","The sentence """""" Question about Observables: """""" uses <pattern>question about sth</pattern> but after the semi-colon, it is only an example to describe the user's expectation instead of describing the problem, so the answer is NO.",0,0,0,1,1
PS_NEG_VERB,""""""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""","The sentence """""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? """""" uses an undesired verb phrase <pattern>breaking up sth</pattern> but ""breaking up a medium size component"" is the intention of the user, not the problem which the user is currently encountering, so the answer is NO.",0,0,1,0,1
PS_PROBLEM_IS,""""""" Hi guys. How can I use Docker with Angular CLI? I want to be able to build my app and push it to a production docker container that is serving nginx as well. So the problem is, I want to build a dist folder in the docker container, and during development I would be able to watch the folder and serve the webapp. Anyone could provide some guidance on how I could do this? """"""","The sentence """""" So the problem is """""" uses <pattern>the problem is</pattern> but the following contents are the user's expectation instead of describing the problem, so the answer is NO.",0,0,0,1,0
PS_NEG_AUX_ADV_ADJ,""""""" I'm buying bitcoin from someone via Localbitcoin, my aim is like@Swinks95, I want to leave the ether I get in for a while, maybe a  couple of years/months, not sure yet. I was going to change the bitcoin I buy to ether via shapeshift.io. do you know if that  site is reliable? I have solarpanels on my roof!! Haha maybe I'll wait till some point in the future if  it's not so rewarding """"""","The sentence """""" maybe a  couple of years/months, not sure yet """""" uses <pattern>not sure</pattern> but it has nothing to do with describing the problem which the user is currently encountering, so the answer is NO.",0,0,1,0,0
PS_SEEMS_TO_NEG_VERB,""""""" I'm in the middle of figuring out my own macro system lol  [<-LINK->]. it works so well for expanding macros and giving me info about each expansion. But my brain can't seem to process how to use the info to trace text ranges through the expansion. Recursion is probably fucking with my brain. There's one more layer of expansion I have to map out. I'm so immature  [<-LINK->]. I giggled at that line of code  [<-LINK->] """"""","The sentence """""" But my brain can't seem to process how to use the info to trace text ranges through the expansion """""" uses <pattern>can't seem to VB</pattern> but this is the user's expectation instead of describing the problem, so the answer is NO.",0,1,0,1,0
PS_NEG_ADV_ADJ,""""""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""","The sentence """""" It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """""" uses <pattern>sth is bad practice</pattern> but it is said by some other guys, not represents the user's point, so the answer is NO.",0,0,0,1,0
PS_VERB_ERROR,""""""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""","The sentence """"""  does anyone know how to get the mat-error and mat-hit animations? """""" uses <pattern>get the mat-error</pattern> but this pattern is in the ""how-to"" question, it is only the user's expectation instead of describing the problem, so the answer is NO.",0,0,0,0,1
PS_NEG_AUX_VERB,""""""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""","The sentence """"""  Can't we use google Word2Vec file (1.5Go) to do that ? """""" uses <pattern>can't .. VB</pattern> but this is just a rhetorical question instead of describing the problem, so the answer is NO.",0,0,0,0,1
PS_VERB_NO,""""""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""","The sentence """"""  is there any way to detect no router change? """""" uses <pattern>detect no router change</pattern> but ""no router change"" is a noun phrase here to indicate the user's expectation instead of describing the problem, so the answer is NO.",0,1,1,0,0
