issue,output
"Question: """""" Can someone please shed some light on why this validation isn't working? quantity: {type: Number, min:[1, ""Quantity must be greater than 0.""]} Currently my form is letting me submit if quantity is empty """""" 
Answer: ","The sentence """""" ""Quantity must be greater than 0."" """""" uses <pattern>something must be</pattern> but this pattern is inside the quotes and it is only an error message not the user's expectation, so the answer is NO."
"Question: """""" I'm having an issue with Angular processing my global SASS file (specified in the styles property in my angular.json file).  It's just not processing the file and rather just including it as is into the app.  This is an NG10 app that was upgraded from NG9.  I created a new NG10 app and tested it and it's working correctly and I don't see anything different in the angular.json file.  Any ideas on why it's not processing the SASS file? """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" Hi, I'm having a problem with following code [<-CODE->]. But at the error line. mutable can be{ type : 'one', next : SomeType }. If next has a type other than SomeType, it will be OK. Also, if mutable.next is not assigned to variablemutable, it will also be OK """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" hello guys anyone have working example of model federation with plugin architecture. the one on github is broke with new version [link] """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" Hi, when i am running the script i found the following output:18:18:37.986 [main] INFO o.d.o.l.ScoreIterationListener - Score at iteration 10 is 0.7203129577636719. What is the ""score"" mean? Does it refer to gradient value? """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" hello all, I'm working in angular 11 with ngx-bootstrap 8.x and having a lot of difficulty with custom events, here's my code: ```error TS2345: Argument of type 'Event' is not assignable to parameter of type 'SortEvent'.   Type 'Event' is missing the following properties from type 'SortEvent'.``` sorry I meant here's my error. is there a work around for this? is custom events broke? how do I tell it what is in the Event?  """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" Hi All,i am facing one issue. Our developers using recycled items in our project. Appium shows xpath only for this fields. If i have 10 fields, The first screen dispalys xpath as \hieracy......linearlayout[1],, linearlayout[2],, linearlayout[3].  If i scroll up, It displays again same xpath for new fields. Can anyone help me for this solution  """""" 
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" Hi everyone, I am starting an angular integration on an opensource project. This project has some a generation steps. I would like to add an angular app generation step. First I need to know if ,on the host machine, node is already installed along with angular cli. I would also like to allow the reuse of existing node/ng installations based on user choice. Could you suggest a best practice for that? """""" 
Answer: ","The sentence """""" First I need to know if ,on the host machine, node is already installed along with angular cli. """""" uses <pattern>need to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" I'm creating a new platform on Ethereum. The issue I see arising is funding so I'm going to do an ICO. Since I am not reputable in the community, I would like to have a reputable developer advise for my project or perhaps work with me.  Any ideas of where to start or ask around? """""" 
Answer: ","The sentence """""" I would like to have a reputable developer advise for my project or perhaps work with me. """""" uses <pattern>would like to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" Hi guys! I had set my docker private registry and i'm trying to push an tagged image. When i run command bellow i get infinitely error Retrying in X seconds I have a [<-LINK->] Any one faced problem 'Retrying in X seconds' when pushing an image to private registry:2? nephilimboy: I changed my nginx.conf not to use upstream on proxy_pass. i worked. It cause  DNS lookup error. """"""
Answer: ","The sentence """""" I had set my docker private registry and i'm trying to push an tagged image """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" I have my app component, routing, and a few main routes with a few main route components. I need to split the routed to component in half and put a nav bar in between it's two sections. But I do not want the nav bar to reload every time I route to a new component. How can I project a nav bar into a routed to component so that when I route to route's a, b, c or d, the nav bar stays. """""" 
Answer: ","The sentence """""" I need to split the routed to component in half and put a nav bar in between it's two sections. """""" uses <pattern>need to VB</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" Hi, I'm trying to import my wallet. When i drag and drop my keystore file it flashes importing but nothing shows up in the mist wallet. Does it need my passcode or something else? I also sent Eth when my wallet wasnt synced. Will the transaction go throgh? """"""
Answer: ","The sentence """""" I'm trying to import my wallet """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" Hi, is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs, as well as multiple outputs? I need to use a computation graph with several input and several output layers, but I can't figure out how to feed in the (csv) data """"""
Answer: ","The sentence """""" is there a way to modify a RecordReaderDataSetIterator so that it reads in multiple inputs """""" uses <pattern>is there a way to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" Hellos guys, are gradient updates computed based on the computeScore method of ILossFunction? I'm extending LossMSE to tweak certain things that I need, and if I modify computeScore it seems to work for the score listener but not so much for the updates """"""
Answer: ","The sentence """""" I'm extending LossMSE to tweak certain things that I need """""" uses <pattern>.. that I need</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" Hello everyone! I've built an simple server-side only express API connected to MongoDB for an app. I'm creating the front end differently and using http GET to request information and so on to the server. Where can I host this express server for free for testing?? does heroku take server only files? """"""
Answer: ","The sentence """""" Where can I host this express server for free for testing? """""" uses <pattern>where can I VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" Hello everyone! I've built an simple server-side only express API connected to MongoDB for an app. I'm creating the front end differently and using http GET to request information and so on to the server. Where can I host this express server for free for testing?? does heroku take server only files? """"""
Answer: ","The sentence """""" I'm creating the front end differently and using http GET to request information and so on to the server. """""" uses <pattern>using sth to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" Hi, I am aware that DL4J is recommended to be used with Java 8 but is there any way I can use DL4J with Java 10 and IntelliJ (with or w/out Maven is fine, knowing that Maven have some quirks with Java 10 as well). I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. I have success so far by getting rid of all the exceptions through from the dl4j-examples but I still have this exception: ""Error:java: java.lang.ExceptionInInitializerError"" No worries, thanks. Here's my gist: [<-LINK->] """""" 
Answer: ","The sentence """""" I was thinking of building with Maven with java SDK 8 and then running the project with java sdk 10 with imported jars from java 8 sdk that the project requires. """""" uses <pattern>thinking of VBG</pattern> to describe the user's expectation. The answer is YES."
"Question: """""" I am running the latest version of nd4j and see this warning ""Failed to load class ""org.slf4j.impl.StaticLoggerBinder""."" Adding the latest stable release of SL4J to my project with maven does not resolve the issue. Does anyone have a solution for this? """"""
Answer: ",No sentences found to indicate the expectation of the user. The answer is NO.
"Question: """""" I'm trying to implement this function interface like: [<-CODE->] It's working for the no-arg version, but even if I call with an arg it still calls the no-arg version... is there an easy way to implement that interface correctly? """"""
Answer: ","The sentence """""" I'm trying to implement this function interface like """""" uses <pattern>trying to VB</pattern> to describe the user's expectation . The answer is YES."
"Question: """""" is it possible to simulate/inject various network issues in nodejs, specifically tcp  connect timeouts and others? """""" 
Answer: ","The sentence """""" is it possible to simulate/inject various network issues in nodejs """""" uses <pattern>is it possible to VB</pattern> to describe the user's expectation. The answer is YES."
