answer1,answer2,answer3
No patterns found. The answer is NO.,"The sentence """""" Setting `outlet:""primary""` in the `Route` definition doesn't work; it will chose a child outlet (none of the children outlets have names assigned). """""" uses <pattern>does not work</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.
"The sentence """""" I like to understand if I can event.loaded and event.total to update a view? """""" uses <pattern>like to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I like to understand if I can event.loaded and event.total to update a view? """""" uses <pattern>like to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I like to understand if I can event.loaded and event.total to update a view? """""" uses <pattern>like to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" I'm trying to do some css styling on one of my components but having a little difficulty representing this logic for the ngClass """""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.,"The sentence """"""I'm trying to do some css styling on one of my components but having a little difficulty representing this logic for the ngClass"""""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" any ideas how to combat this problem? """""" uses <pattern>ideas how to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Now the new problem is I need data from the Parent Component in the grandchild component """""" uses <pattern>need NN from NN</pattern> to describe the required information. The answer is YES.","The sentence """""" any ideas how to combat this problem? """""" uses <pattern>ideas how to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Does anyone know how to solve this properly and could help me out? """""" uses <pattern>know how to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" The problem is that is needs to clear the state every time a new array of images is emitted on the imagesSubject """""" uses <pattern>needs to VB every time</pattern> to describe the required information. The answer is YES.","The sentence """""" Does anyone know how to solve this properly and could help me out? """""" uses <pattern>know how to VB</pattern> to describe the required information. The answer is YES."
No patterns found. The answer is NO.,"The sentence ""routerevents works fine, but i dont want to leave the OB subscribed"" uses <pattern>dont want to VB</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.
"The sentence """""" the effect i'm seeking is essentially a new property that exists during ngfor iteration instances => a transformer that accepts DTO and composed DTO.date1 && DTO.date2 into Event {date1, date2} """""" uses <pattern>seeking NN</pattern> and <pattern>accepts NN</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.,No patterns found. The answer is NO.
No patterns found. The answer is NO.,No patterns found. The answer is NO.,"The sentence """""" Cannot read property 'disabled' of undefined --- angular 12 unit test
"""""" uses <pattern>Cannot read property NN of undefined</pattern> to describe the required information. The answer is YES."
"The sentence """""" How can i move/change dialog position when scrolling? is it possible? """""" uses <pattern>can VB</pattern> to describe the required information. The answer is YES.","The sentence """""" How can i move/change dialog position when scrolling? is it possible? """""" uses <pattern>can VB</pattern> to describe the required information. The answer is YES.","The sentence """""" How can i move/change dialog position when scrolling? """""" uses <pattern>How can i VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" i`m trying to remove elements from ngFor list, and want them immediately removed from my list (after i sent http request to server) """""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" i`m trying to remove elements from ngFor list, and want them immediately removed from my list (after i sent http request to server) """""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" i cannot achieve that even when i fetch new list afetr removing an element from it """""" uses <pattern>cannot achieve VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Is it possible to restrict user to access website with IP address from Frontend side if not so why it's not possible? """""" uses <pattern>possible to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is it possible to restrict user to access website with IP address from Frontend side if not so why it's not possible? """""" uses <pattern>possible to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is it possible to restrict user to access website with IP address from Frontend side if not so why it's not possible? """""" uses <pattern>possible to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" I've marked an old module as deprecated, which gives a little warning in the IDE when it's imported. """""" uses <pattern>marked VB as JJ, which gives NN in NN when VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there a way to output a console warning whenever that module is imported by another module? """""" uses <pattern>Is there a way to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there a way to output a console warning whenever that module is imported by another module? """""" uses <pattern>Is there a way to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" the markAsPristine work only after that all subforms are initialized. """""" uses <pattern>work only after that</pattern> to describe the required information. The answer is YES.","The sentence """"""the markAsPristine work only after that all subforms are initialized."""""" uses <pattern>work only after that CC</pattern> to describe the required information. The answer is YES.","The sentence """""" the markAsPristine work only after that all subforms are initialized. """""" uses <pattern>work only after that</pattern> to describe the required information. The answer is YES."
"The sentence """""" I figure the above should also work - and globally. """""" uses <pattern>should VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I add either and when an error occurs, nothing happens """""" uses <pattern>add NN</pattern> to describe the required information. The answer is YES.","The sentence """""" I add either and when an error occurs, nothing happens """""" uses <pattern>add NN</pattern> to describe the required information. The answer is YES."
"The sentence """""" Can anyone tell me how to resolve this.? """""" uses <pattern>can VB</pattern> to describe the required information. The answer is YES.","The sentence """""" even though I install the required version it still detects the higher version and throws the same error. """""" uses <pattern>install the required version but still VB the higher version</pattern> to describe the required information. The answer is YES.","The sentence """""" Can anyone tell me how to resolve this.? """""" uses <pattern>tell to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" It seems though that the modules and services that would need that data are being initialized before the APP_INITIALIZER:useFactory promise completes. """""" uses <pattern>seems though that VB PRON VB ING before</pattern> to describe the required information. The answer is YES.","The sentence """""" It seems though that the modules and services that would need that data are being initialized before the `APP_INITIALIZER:useFactory` promise completes. """""" uses <pattern>seems though that NN VB before NN VB</pattern> to describe the required information. The answer is YES.","The sentence """""" It seems though that the modules and services that would need that data are being initialized before the `APP_INITIALIZER:useFactory` promise completes. """""" uses <pattern>be VBG before NN completes</pattern> to describe the required information. The answer is YES."
No patterns found. The answer is NO.,No patterns found. The answer is NO.,No patterns found. The answer is NO.
No patterns found. The answer is NO.,No patterns found. The answer is NO.,No patterns found. The answer is NO.
"The sentence """""" at the moment I am overwrite the method to can pass other `SectionFormComponent` as type and as param """""" uses <pattern>am overwrite the method to can pass other NN as type and as param</pattern> to describe the required information. The answer is YES.","The sentence """""" at the moment I am overwrite the method to can pass other SectionFormComponent as type and as param """""" uses <pattern>overwrite NN to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" at the moment I am overwrite the method to can pass other `SectionFormComponent` as type and as param """""" uses <pattern>am overwrite the method to VB</pattern> to describe the required information. The answer is YES."
"The sentence """"""Because my problem seems the access-token not refreshing, and ONLY refresh, when signInWithPopup called."""""" uses <pattern>problem NN not VBG</pattern> to describe the required information. The answer is YES.","The sentence """""" Someone faced this problem before? """""" uses <pattern>someone NN before</pattern> to describe the required information. The answer is YES.","The sentence """""" Someone faced this problem before? """""" uses <pattern>someone VB this problem before</pattern> to describe the required information. The answer is YES."
No patterns found. The answer is NO.,No patterns found. The answer is NO.,No patterns found. The answer is NO.
"The sentence """""" Is there something like that for Angular? """""" uses <pattern>Is there something like that for NN</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there something like that for Angular? """""" uses <pattern>Is there something like that for</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there something like that for Angular? """""" uses <pattern>is there something like that for NN</pattern> to describe the required information. The answer is YES."
"The sentence """""" The serve command is somewhat working, but the compiler is complaining in just one component apparently saying that it doesn't recognize the selectors in the html Example. """""" uses <pattern>complaining VB that PRON does not recognize DET NNS in DET html Example</pattern> to describe the required information. The answer is YES.","The sentence """""" The serve command is somewhat working, but the compiler is complaining in just one component apparently saying that it doesn't recognize the selectors in the html Example. """""" uses <pattern>complaining VB</pattern> to describe the required information. The answer is YES.","The sentence """""" The serve command is somewhat working, but the compiler is complaining in just one component apparently saying that it doesn't recognize the selectors in the html Example."""""" uses <pattern>complaining VBZ that it does VBP not recognize VB the selectors in the html NN</pattern> to describe the required information. The answer is YES."
"The sentence """""" the headers map is private , it would be great if I can at least get a copy """""" uses <pattern>would VB if I can VB</pattern> to describe the required information. The answer is YES.","The sentence """""" it would be great if I can at least get a copy """""" uses <pattern>would VB if PRP MD at least VB DT</pattern> to describe the required information. The answer is YES.","The sentence """""" it would be great if I can at least get a copy """""" uses <pattern>would be great if I VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" so I changed it to a function instead """""" uses <pattern>changed it to NN instead</pattern> to describe the required information. The answer is YES.","The sentence """""" so I changed it to a function instead """""" uses <pattern>changed it to NP instead</pattern> to describe the required information. The answer is YES.","The sentence """""" but do I use no parenthesis or with paranthesis when defining it in `useFactory`? """""" uses <pattern>do VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" I wanted to create or reuse a shareable config for my team to use. """""" uses <pattern>wanted to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I wanted to create ore reuse a shareable config for my team to use. """""" uses <pattern>wanted to VB</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.
"The sentence """""" So, in this case, how to get a callback/response of this error message to the rendered component from the recaptcha? """""" uses <pattern>how to get VB</pattern> to describe the required information. The answer is YES.","The sentence """""" So, in this case, how to get a callback/response of this error message to the rendered component from the recaptcha? """""" uses <pattern>how to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" So, in this case, how to get a callback/response of this error message to the rendered component from the recaptcha? """""" uses <pattern>how to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Our next step is to create a reactive form presentation of our data. """""" uses <pattern>create NN presentation of NN data</pattern> to describe the required information. The answer is YES.",No patterns found. The answer is NO.,"The sentence """""" how would you do it? itemized forms for the entire collection, or something fancy with pipes in the template, or something simple with databinding to item.current? """""" uses <pattern>would VB it ?</pattern> to describe the required information. The answer is YES."
"The sentence ""From my first look, there does not seem to have conflicts, but has anybody here tried to do the same and saw any issues ?"" uses <pattern>does not seem to VB, tried to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" There does not seem to have conflicts """""" uses <pattern>not seem to VB</pattern> to describe the required information. The answer is YES.","The sentence """"""From my first look, there does not seem to have conflicts, but has anybody here tried to do the same and saw any issues ?"""""" uses <pattern>seem to VB</pattern> to describe the required information. The answer is YES."
No patterns found. The answer is NO.,No patterns found. The answer is NO.,No patterns found. The answer is NO.
No patterns found. The answer is NO.,No patterns found. The answer is NO.,No patterns found. The answer is NO.
"The sentence ""Can you please kindly suggest me a tool or any interceptor without touching the code?"" uses <pattern>suggest NN</pattern> to describe the required information. The answer is YES.","The sentence """""" I'm looking for a tool which just captures the request and response in a database or csv file and no other details are required. """""" uses <pattern>looking for NN</pattern> to describe the required information. The answer is YES.","The sentence """""" I'm looking for a tool which just captures the request and response in a database or csv file and no other details are required. """""" uses <pattern>looking for a NN which VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Relevant [angular-cli issue] doesn't provide a definitive solution despite having been closed. """""" uses <pattern>provide a definitive solution VB</pattern> to describe the required information. The answer is YES.","The sentence """""" What are we supposed to do here? """""" uses <pattern>supposed to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" What are we supposed to do here? """""" uses <pattern>supposed to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Like adding class based on url?? """""" uses <pattern>adding class based on NN</pattern> to describe the required information. The answer is YES.","The sentence ""Do you have any idea how to make my landing page nav-link active?"" uses <pattern>how to make NN</pattern> to describe the required information. The answer is YES.","The sentence """""" Do you have any idea how to make my landing page nav-link active? """""" uses <pattern>have any idea how to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" The goal is to have one `Store`, I wonder how is it possible with a such factory method since every time we call that method we create a new instance. """""" uses <pattern>wonder how VB</pattern> to describe the required information. The answer is YES.","The sentence """""" The goal is to have one Store, I wonder how is it possible with a such factory method since every time we call that method we create a new instance. """""" uses <pattern>wonder how VB PP VB VB a such JJ NN since </pattern> to describe the required information. The answer is YES.","The sentence """""" The goal is to have one `Store`, I wonder how is it possible with a such factory method since every time we call that method we create a new instance. """""" uses <pattern>wonder how is it possible with a such NN since every time we call that NN</pattern> to describe the required information. The answer is YES."
"The sentence """""" If various apps, modules, and components are built on different sub/domains (different origins), how can these 'remotes' be assembled within a 'host'/shell without running into CORS restrictions? """""" uses <pattern>how can WP VB without ING</pattern> to describe the required information. The answer is YES.","The sentence """""" If various apps, modules, and components are built on different sub/domains (different origins), how can these 'remotes' be assembled within a 'host'/shell without running into CORS restrictions? """""" uses <pattern>how can VB without VBG</pattern> to describe the required information. The answer is YES.","The sentence """""" If various apps, modules, and components are built on different sub/domains (different origins), how can these 'remotes' be assembled within a 'host'/shell without running into CORS restrictions? """""" uses <pattern>how to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" How do I import a js file into an angular component? """""" uses <pattern>How do I VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I want to use the js library as says in the doc. """""" uses <pattern>want to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I want to use the js library as says in the doc. """""" uses <pattern>want to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" I do not know why. """""" uses <pattern>do not know VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I do not know why """""" uses <pattern>not know VB</pattern> to describe the required information. The answer is YES.","The sentence ""I have problem I do not know solve"" uses <pattern>not know VB</pattern> to describe the required information. The answer is YES."
"The sentence ""That would be great if you could let me know your opinion and suggestion"" uses <pattern>would VB if you could NN</pattern> to describe the required information. The answer is YES.","The sentence """""" That would be great if you could let me know your opinion and suggestion """""" uses <pattern>let VB NN NN NN</pattern> to describe the required information. The answer is YES.","The sentence """"""That would be great if you could let me know your opinion and suggestion"""""" uses <pattern>would be VB if you could let NN know your NN and NN</pattern> to describe the required information. The answer is YES."
"The sentence """""" The OPTIONS request never contains my added header. """""" uses <pattern>never contains NN</pattern> to describe the required information. The answer is YES.","The sentence """""" I'm trying to add a header to my preflight requests using an interceptor but the OPTIONS request never contains my added header. """""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" I'm trying to add a header to my preflight requests using an interceptor but the OPTIONS request never contains my added header. """""" uses <pattern>trying to VB</pattern> to describe the required information. The answer is YES."
"The sentence """""" Is there like a smart way to default the values of this interface that aren't populated by the data from my yaml to 0? """""" uses <pattern>Is there like a smart way to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there like a smart way to default the values of this interface that aren't populated by the data from my yaml to 0? """""" uses <pattern>Is there like NP to VB</pattern> to describe the required information. The answer is YES.","The sentence """""" Is there like a smart way to default the values of this interface that aren't populated by the data from my yaml to 0? """""" uses <pattern>Is there like a smart way to VB</pattern> to describe the required information. The answer is YES."
