issue,output
""""""" I have a service that fetches data form an API. This data is language dependant, and the base URL changes according to the language. How can I make the app work dependant on the language switch? I've implemented a component to switch languages and the main component is aware of these changes. But how do I store the active language value (and where) in order for the service to always fetch it? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hi All, I am planning to use shadowdom in my application, I have a template builder which has multiple cards with its own template where each template loads its own css and js files. will I be able to execute those js files if i use shadowdom? anyhelp with my question on shadowdom? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """"""","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES."
"""""""Anyone know a good way to create an authentication service to grant the user access to specific route paths only based on some logic? I guess@DzmitryShylovichwill knows the answer as usual Great presentation yesterday@kara:) """"""","The sentence """""" Anyone know a good way to create an authentication service to grant the user access to specific route paths only based on some logic? """""" uses <pattern>only based on sth.</pattern> but this pattern is in the interrogative sentence, it is only the user's expectation instead of describing the problem, so the answer is NO."
""""""" Hi guys, can anyone give me a hint on how to check if the ngContent part of a Component contains a special tag. I have a template like this:        Ah, just realized that the string passed to ContentChild is refering to a local template variable... so is it even possible to inject elements by CSS-Selector into the component? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" hey guys, has anyone ever successfully implemented a test for a service that is using web workers with jest?  google only has a reference to a vue tutorial wich does some weird stuff I can't reproduce like importing 'Worker' from this file: [code] """"""","The sentence """""" google only has a reference to a vue tutorial wich does some weird stuff I can't reproduce like importing 'Worker' from this file """""" uses <pattern>i can't VB</pattern> to indicate that there is something wrong with this file. The answer is YES."
""""""" Hi, back from holiday :) I trained nn on 3 GPU and after one epoch it counted first three iteration and then it went to nans. Is there some recommendation what to do differently then when I am using only one computation unit? (GPU or CPU) raver119:  [<-LINK->] I am not sure what you mean as setup. this is NN config  [<-LINK->] gpu count is 3 """"""","The sentence """""" I trained nn on 3 GPU and after one epoch it counted first three iteration and then it went to nans. """""" uses an error noun <pattern>nans</pattern> to indicate that there is something wrong during the training process. The answer is YES."
""""""" hello I am using Nodejs with VS2017 and struggling to get my gulp, mocha testing bits working together properly it seems gulp has landed in my C:\\Users.\\AppData\\Roaming\\npm\\node_modules directory. I'd rather like it to land in my project folder. however for now I ran npm link gulp and this has connected the bits to my AppData directory. not my preference, I'd like it to locate the project assets. """"""","The sentence """""" hello I am using Nodejs with VS2017 and struggling to get my gulp """""" uses <pattern>struggling to VB</pattern> to indicate that the user is having trouble getting the gulp when ""using Nodejs with VS2017"". The answer is YES."
""""""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES."
""""""" raver119: Here is my mini project gist: [<-LINK->] Same error It just missing a dependency and for the life of me I can't figure out why. Oh, ok, I guess the classifier is the problem. Let me see raver119: It was classifier! But now I'm getting different problem: [<-LINK->] And I have LIBND4J_HOME variable set Pointing to my libnd4j directory Ok, one sec  [<-LINK->] If I would build the whole nd4j it stopped on cuda, so I only run nd4j """"""","The sentence """"""  Same error It just missing a dependency and for the life of me I can't figure out why """""" uses an undesired verb <pattern>missing</pattern> to indicate that ""missing a dependency"" is the issue for the project. The answer is YES."
""""""" anybody deal with safari and gzipping? On chrome/firefox, it appears to get the gzipped file, but on Safari it seems to be receiving the uncompressed file. I've got my complete app down to 180KB, but it's transferring like 1MB in Safari :( . Using express server. """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" I have a question for y'all about services. Do you tend to split your services out per data object? For example - if I have a component that will need to interact with a certain set of objects, should I create a separate service for each object, or just bundle them all into the same service? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
""""""" Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried@ViewChild(RouterLinkActive) and@ViewChildren(RouterLinkActive) but that does not seem to work. Any ideas? """"""","The sentence """""" I have tried @ViewChild(RouterLinkActive) and @ViewChildren(RouterLinkActive) but that does not seem to work """""" uses <pattern>does not seem to work</pattern>  to indicate that the user is having trouble ""get a reference to a RouterLinkActive"". The answer is YES."
""""""" Does anyone know if it is possible to make a path mapping for the type script compiler. ie: notimport {Foo} from ""./relative/path/foo""butimport {Foo} from ""foo"". BTW: I use node resolution strategy and do not want to create separate node modules ? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.
