name,description
apollo-client,Apollo Client is a JavaScript library for building client UIs that fetch data using GraphQL.
word-wrap,"In text display, line wrap is the feature of continuing on a new line when a line is full, such that each line fits in the viewable window, allowing text to be read from top to bottom without any horizontal scrolling."
mount,mount is a command used to attach the file data structure of a device as a branch of the root tree. 
authorization,"Authorization is the process of determining whether a user, program or device is allowed to access a protected resource in a particular way. Authorization is a key theme in computer security practices."
nsarray,"An immutable, integer-indexed array of objects from the Apple Foundation framework. "
qtableview,QTableView is a Qt class providing a default model/view implementation of a table view.
ios8,"iOS 8 is the eighth version of Apple&#39;s iOS mobile operating system. It was announced at the company&#39;s Apple Worldwide Developers Conference (WWDC) on June 2, 2014 and was released to the public on September 17, 2014.

The ios8 tag should be used for questions specific to Apple&#39;s iOS 8 operating system. General iOS questions should use the ios tag."
p2p,"Peer-to-peer (P2P) computing or networking is a distributed application architecture that partitions tasks or workloads between peers. Peers are equally privileged, equipotent participants in the application. "
timer,Timer is a component that has the functionality to trigger a user defined action at regular intervals as configured by the user. 
android-spinner,"A spinner is a control/widget that allows the user to select an item from a group, like a dropdown list..."
laravel-mix,"Laravel Mix provides a clean, fluent API for defining basic webpack build steps for your applications. Mix supports several common CSS and JavaScript pre-processors.

"
laravel-passport,Laravel Passport is a native OAuth 2 server for Laravel apps.
content-security-policy,"Content Security Policy (CSP) aims to mitigate the risk of cross-site scripting attacks by giving developers fine-grained control over the resources a page is allowed to load, as well as the script it&#39;s allowed to execute."
keydown,&quot;keydown&quot; is an event used in writing software that is triggered when a key on the keyboard is being pressed. It usually precedes the event &quot;keyup&quot;.
istio,Istio is an open-source platform for managing and securing microservices
highstock,Highstock is a JavaScript based charting library that lets you create timeline (especially stock) charts.
matrix-multiplication,"Questions related to matrix multiplication, especially implementation. Mathematical questions should consider the [linear-algebra] tag."
x86-64,x86-64 is a 64 bit extension to the Intel x86 architecture
uislider,"A UISlider object is a visual control used to select a single value from a continuous range of values. Sliders are always displayed as horizontal bars. An indicator, or thumb, notes the current value of the slider and can be moved by the user to change the setting. Available in iOS 2.0 and later in UIKit.
"
computer-science,Computer science (CS) is the science behind programming. Use for questions related to the more theoretical questions involving programming. Questions of a purely theoretical nature may be off-topic. All CS questions can be asked on https://cs.stackexchange.com/
odoo-8,Odoo S.A. is the software vendor of the Odoo Apps (formerly OpenERP).
python-3.6,Version of the Python programming language released in December 2016. For issues specific to Python 3.6. Use more generic [python] and [python-3.x] tags where possible.
abstraction,Abstraction is a computer science concept in which an implementation is separated from its interface.
rxjs5,The 5th version of the reactive extensions for javascript.
branching-and-merging,"In version control, branches represent parallel lines of development. Merging is the action that integrates changes made in different branches."
http,Hypertext Transfer Protocol (HTTP) is an application level network protocol that is used for the transfer of content on the World Wide Web.
uiimageview,"An image view object provides a view-based container for displaying either a single image or for animating a series of images in iOS. For animating the images, the UIImageView class provides controls to set the duration and frequency of the animation. You can also start and stop the animation freely."
workflow-foundation-4,Windows Workflow 4 is Microsoft&#39;s framework for declarative composable business logic for .NET.
foreach,"foreach is a looping construct that executes a given piece of code for each element in a list/collection/array. In contrast to a for loop, the foreach loop doesn&#39;t require the coder to maintain a counter variable to avoid off-by-one (fencepost) bugs. It is recommended to use when simple iteration over whole array/list/collection is needed."
crystal-reports,"Crystal Reports is a report writer that operates as a stand-alone report designer, an integrated part of Visual Studio, or part of SAP&#39;s Business Objects Enterprise suite.

"
polling,Polling is actively sampling the status of an external device by a client program as a synchronous activity.
footer,"In programming, a page footer (or simply footer) is part of page that is separated from the main body and appears at the bottom of a page."
aws-fargate,"AWS Fargate is a service within Amazon Web Services that allows for running containers without managing servers or clusters. Use this tag for questions about AWS Fargate. For context, also tag your question with [amazon-ecs] or [amazon-eks] to denote which managed container service you&#39;re using."
identifier,An identifier is a name that identifies either a unique object or a unique class of objects.
drools,"Drools is a business-rule management system (BRMS) with a forward-chaining-inference-based rules engine, more correctly known as a production rule system, using an enhanced implementation of the Rete algorithm."
django-admin,"Django&#39;s built-in, automatic admin interface (django.contrib.admin) which is part of the Django Web framework for the Python programming language."
elasticsearch,"Elasticsearch is a free and open, distributed, RESTful search engine based on Lucene."
windows-phone,GENERAL WINDOWS PHONE SUPPORT IS OFF-TOPIC. Windows Phone is Microsoft&#39;s mobile operating system and software development platform. Use this tag for programming questions that specifically relate to programming or debugging on a Windows Phone. Windows Phone questions that are not programming-related can be asked on https://windowsphone.stackexchange.com/ 
generic-programming,A style of programming in which algorithms are implemented abstracting from concrete data types. Usually referred to strongly typed languages this term is usually treated as creating software which is minimal in terms of data type requirements and can be instantiated for each conforming data type without changing the callee code.
binary-tree,A tree data structure in which each node has at most two child nodes.
naming,"A general purpose tag to cover anything concerning naming, be it files, programming constructs, data etc."
syncfusion,"Use this tag for questions relating to the Syncfusion UI components suite for Web, Desktop, and Mobile Apps.
"
mainframe,"The mainframe tag refers to the class of &quot;big iron&quot; computers, primarily those from IBM. Currently this is limited to the IBM Z hardware, typically running z/OS, z/VM, z/VSE, z/TPF, or a distribution of Linux on IBM Z as its operating system."
docker-machine,"docker-machine creates Docker Engines on your computer, on cloud providers, and/or in your data center, and then configures the Docker client to securely talk to them."
leiningen,Leiningen is a build automation and dependency management tool for Clojure projects
castle-windsor,"Castle Windsor is an Inversion of Control container for .NET.

There is comprehensive documentation available which can answer most of your questions so it&#39;s always worthwhile to RTM first.

Also check out its group on Google groups, which is where most of Castle experts hang out.
"
fullscreen,A fullscreen object occupies the entire screen.
dart,"Dart is a class-based, statically(&amp; strongly)-typed programming language for building web and mobile applications. Dart compiles to modern JavaScript to run in the browser and compiles to native code to run on mobile platforms like Android and iOS. Dart also runs on the command-line for scripting and server-side apps."
nsdate,"NSDate objects represent a single point in time. NSDate is a class cluster; its single public superclass, NSDate, declares the programmatic interface for specific and relative time values. The objects you create using NSDate are referred to as date objects. They are immutable objects. Because of the nature of class clusters, objects returned by the NSDate class are instances not of that abstract class but of one of its private subclasses. "
localization,"Localization is the process of adapting a product or service to a particular language, culture, and desired local &quot;look-and-feel&quot;."
code-first,"Code-first is a software implementation approach that favors programming against an API over other approaches that may rely more heavily on visual tools or require the presence of some external source that is inspected to generate program behavior, structure, or data."
scheduling,"In computer science, scheduling is the method by which threads, processes or data flows are given access to system resource."
associations,Associations typically refer to relationships between models in ORMs such as ActiveRecord.
bigcommerce,BigCommerce is an eCommerce platform. They provide a simple and extensible REST API and a storefront framework built on Node.js using Handlebars.js for templating. Use this tag to ask any BigCommerce API or theme development related questions irrespective of the language/technology you are working with.
automator,"An application, first appearing in Apple&#39;s OS X, providing a point and click interface for creating macros to automate tasks"
directory-structure,Questions that relate to the organization of files and directories in a filesystem.
nginx,"Nginx (&quot;engine x&quot;) is a web server, reverse proxy, TCP stream proxy and mail proxy, released under a BSD-like license."
lookup,Look up is related to indexes and hash tables. It is the action of accessing fastly to an item in a large collection thanks to a index (a so-called lookup table).
has-many,has_many indicates a master-detail relationship.
sf,"The motivation behind the `sf` package is to provide a complete, standardized implementation of simple features in R, with links to GDAL, GEOS and Proj.4. There is a also https://gis.stackexchange.com/ for spatial R questions."
asp.net-mvc-2,"ASP.NET MVC 2 is the second major version of the ASP.NET MVC platform, it has since been outdated by ASP.NET MVC 3."
android-sdcard,SD Card is a Secure Digital Card available with Android which acts as the External Storage Directory.
recursive-query,The ability to run recursive queries in SQL
dictionary,"A dictionary maps keys to values allowing efficient retrieval of values by keys. USE [map-function] TAG for mapping functions; and for geography, [maps].
"
sdk,"A software development kit (SDK) is a set of development tools that allows for the creation of software for a certain hardware platform, development environment, or software package. A SDK may consist of a combination of APIs, an IDE or other development tools, and frameworks."
amazon-dynamodb,"Amazon DynamoDB is a proprietary closed-source cloudnative key-value and document database optimized for horizontal scaling. It&#39;s a fully managed, multiregion, multimaster database with built-in security, backup and restore, and in-memory caching for internet-scale applications. DynamoDB is hosted on AWS, but also has a local deployment option just for development and functional testing. Used on amazon.com."
vuex,"Vuex is a state management pattern + library for Vue.js applications. It serves as a centralized store for all the components in an application, with rules ensuring that the state can only be mutated in a predictable fashion."
amp-html,"AMP HTML (Accelerated Mobile Pages HTML) is a project to make the web faster as well as easier to develop. It is a set of HTML tags, a JavaScript library, and a cache for AMP-compliant pages."
binding,This tag means different things in different contexts; consider using less ambiguous tags instead or in addition. Common meanings include: Dependency-Injection and  Data Binding to Objects and Bindings between components of an Application. 
google-fusion-tables,"Fusion Tables is Google&#39;s product for managing and combining datasets via a web service and Google Drive, and visualizing them in charts and other ways. Fusion Tables was shut down on December 3, 2019, Maps API version 3.37 is the last version that supported Fusion Tables"
ecto,Ecto is a domain specific language for writing queries and interacting with databases in Elixir.
execute,"In many dialects of SQL, the execute statement is used to invoke a stored procedure."
meta,Meta elements are the HTML or XHTML &lt;meta … &gt; element used to provide structured metadata about a Web page. DO NOT USE this tag for questions about Stack Overflow; post these on meta.stackoverflow.com instead.
matplotlib-basemap,"The matplotlib basemap toolkit is a library for plotting 2D data on maps in Python. It is similar in functionality to the matlab mapping toolbox, the IDL mapping facilities, GrADS, or the Generic Mapping Tools. PyNGL and CDAT are other libraries that provide similar capabilities in Python."
distributed,"Multiple computers working together, using a network to communicate"
uri,"A Uniform Resource Identifier (or URI) is a string of characters used to identify a name or resource. URI is legacy terminology. In most cases, the term URL should be used instead."
uialertview,"UIAlertView, a class contained in Apple&#39;s UIKit framework, was used to display an alert to the user. Alerts could have a title, message, several buttons, and custom subviews. UIAlertView was deprecated in iOS 8."
.htaccess,"Directory-level configuration file used by Apache web servers. Use this tag if and only if .htaccess content is directly involved in the topic. We know many people are using .htaccess, but kindly ask the members of the community to not use this tag, unless you know it is on-topic in your question. Also notice what the &quot;apache&quot; tag has to say about questions about _configuring_ Apache httpd and their potential off-topicness on stackoverflow"
spark-dataframe,"Structured columnar data, analogous to pandas or R dataframes, but with a spark RDD basis, allowing massive, distributed SQL-like operation."
antlr4,"Version 4 of ANother Tool for Language Recognition (ANTLR), a flexible lexer/parser generator. ANTLR4 features an enhanced adaptive LL(*) parsing algorithm, that improves on the simpler LL(*) algorithm used in ANTLR3."
